p1,p2,dealer,category,avg_think_claude-sonnet-4-20250514-thinking,avg_think_gemini-2-5-flash-thinking,avg_think_gpt-5-med-thinking,avg_think_gpt-5-nano-med-thinking,n_claude-sonnet-4-20250514-thinking,n_gemini-2-5-flash-thinking,n_gpt-5-med-thinking,n_gpt-5-nano-med-thinking
2,2,4,pair 2/2,917.8,1222.2,478.2,1393.0,5,5,5,5
2,2,5,pair 2/2,879.6,1072.8,178.6,2296.4,5,5,5,5
2,2,6,pair 2/2,903.8,1317.4,280.8,1572.0,5,5,5,5
2,2,7,pair 2/2,923.2,1270.0,85.8,2016.6,5,5,5,5
2,2,8,pair 2/2,884.8,1342.4,256.4,2131.0,5,5,5,5
2,2,9,pair 2/2,1182.0,1271.6,610.6,2511.8,5,5,5,5
2,2,A,pair 2/2,1134.3,1656.7,891.7,2765.3,3,3,3,3
3,3,10,pair 3/3,1023.8,1848.2,334.5,2262.5,4,4,4,4
3,3,2,pair 3/3,1072.4,870.8,536.0,2091.4,5,5,5,5
3,3,3,pair 3/3,1043.6,1236.2,257.0,2154.6,5,5,5,5
3,3,4,pair 3/3,938.4,1188.6,517.4,2659.4,5,5,5,5
3,3,5,pair 3/3,962.4,1403.4,272.2,2555.6,5,5,5,5
3,3,6,pair 3/3,981.2,1140.6,312.0,2261.6,5,5,5,5
3,3,7,pair 3/3,1010.0,1537.0,800.2,2327.8,5,5,5,5
3,3,8,pair 3/3,988.8,1525.6,505.6,2332.4,5,5,5,5
3,3,9,pair 3/3,1018.0,1179.8,176.8,2614.0,5,5,5,5
3,3,A,pair 3/3,1182.5,929.5,0.0,2360.5,2,2,2,2
4,4,10,pair 4/4,1188.4,1187.0,289.8,1366.6,5,5,5,5
4,4,2,pair 4/4,1198.2,1272.4,1310.2,2031.4,5,5,5,5
4,4,3,pair 4/4,1070.8,1095.0,1157.6,1894.2,5,5,5,5
4,4,4,pair 4/4,1173.6,1279.6,1384.6,2513.4,5,5,5,5
4,4,5,pair 4/4,1317.8,1410.6,601.6,2421.2,5,5,5,5
4,4,6,pair 4/4,1160.2,1367.6,1387.8,2130.6,5,5,5,5
4,4,7,pair 4/4,1058.8,1066.2,1206.0,2222.6,5,5,5,5
4,4,8,pair 4/4,1012.0,1306.8,589.2,2309.4,5,5,5,5
4,4,9,pair 4/4,1024.8,1014.4,435.0,2259.8,5,5,5,5
4,4,A,pair 4/4,950.7,1699.3,1002.3,1536.7,3,3,3,3
5,5,10,pair 5/5,1146.6,874.4,614.8,2665.6,5,5,5,5
5,5,2,pair 5/5,976.4,1242.6,258.8,1492.6,5,5,5,5
5,5,3,pair 5/5,1076.6,1050.6,176.0,1630.4,5,5,5,5
5,5,4,pair 5/5,1132.6,1263.4,332.4,1930.0,5,5,5,5
5,5,5,pair 5/5,905.6,1137.8,88.6,2346.0,5,5,5,5
5,5,6,pair 5/5,1084.8,1157.4,342.0,1809.2,5,5,5,5
5,5,7,pair 5/5,1033.2,985.0,426.0,1985.8,5,5,5,5
5,5,8,pair 5/5,853.8,1305.4,579.6,1938.4,5,5,5,5
5,5,9,pair 5/5,1090.4,1147.0,500.6,2053.8,5,5,5,5
5,5,A,pair 5/5,1021.5,1439.5,910.5,2578.5,2,2,2,2
6,6,10,pair 6/6,908.4,1166.0,712.4,1781.8,5,5,5,5
6,6,2,pair 6/6,892.4,1321.2,338.6,2363.0,5,5,5,5
6,6,3,pair 6/6,1020.0,1362.2,166.6,1978.4,5,5,5,5
6,6,4,pair 6/6,1031.6,1093.2,269.8,1964.0,5,5,5,5
6,6,5,pair 6/6,922.2,1319.0,408.8,1688.4,5,5,5,5
6,6,6,pair 6/6,1082.4,1368.6,597.6,2097.6,5,5,5,5
6,6,7,pair 6/6,1108.0,1284.6,1026.0,2449.8,5,5,5,5
6,6,8,pair 6/6,1106.0,1308.6,635.6,2094.2,5,5,5,5
6,6,9,pair 6/6,982.2,1195.2,443.8,2199.2,5,5,5,5
6,6,A,pair 6/6,1258.2,1299.5,895.0,2254.5,4,4,4,4
7,7,10,pair 7/7,1077.8,1771.6,555.4,2097.2,5,5,5,5
7,7,2,pair 7/7,831.0,1066.6,696.4,1580.8,5,5,5,5
7,7,3,pair 7/7,1100.4,1193.2,415.4,2020.2,5,5,5,5
7,7,4,pair 7/7,968.0,1115.0,342.4,2024.8,5,5,5,5
7,7,5,pair 7/7,1003.6,1329.2,170.4,1988.2,5,5,5,5
7,7,6,pair 7/7,959.0,1313.0,585.6,1544.0,5,5,5,5
7,7,7,pair 7/7,1028.4,1017.4,898.2,1891.4,5,5,5,5
7,7,8,pair 7/7,924.0,1034.0,1050.4,2233.0,5,5,5,5
7,7,9,pair 7/7,1132.6,1477.8,245.2,1842.8,5,5,5,5
7,7,A,pair 7/7,1104.2,1269.5,696.8,2355.2,4,4,4,4
8,8,10,pair 8/8,1187.4,1377.4,252.6,1291.6,5,5,5,5
8,8,2,pair 8/8,933.0,1382.6,261.0,1520.6,5,5,5,5
8,8,3,pair 8/8,808.8,1479.8,167.6,1572.2,5,5,5,5
8,8,4,pair 8/8,954.0,1163.8,513.4,1411.6,5,5,5,5
8,8,5,pair 8/8,894.8,1397.6,151.2,1327.2,5,5,5,5
8,8,6,pair 8/8,1038.4,1234.6,247.4,1146.4,5,5,5,5
8,8,7,pair 8/8,934.8,901.4,256.0,2012.0,5,5,5,5
8,8,8,pair 8/8,1160.2,1063.4,163.8,1703.4,5,5,5,5
8,8,9,pair 8/8,948.2,1261.4,273.0,1961.2,5,5,5,5
8,8,A,pair 8/8,1043.3,1100.7,589.0,1580.7,3,3,3,3
9,9,10,pair 9/9,1159.0,1214.8,273.0,2401.8,5,5,5,5
9,9,2,pair 9/9,1047.4,1375.0,261.8,2159.8,5,5,5,5
9,9,3,pair 9/9,993.8,994.0,594.8,1838.2,5,5,5,5
9,9,4,pair 9/9,989.0,1309.8,421.2,2189.4,5,5,5,5
9,9,5,pair 9/9,1010.2,1128.0,342.2,2435.6,5,5,5,5
9,9,6,pair 9/9,1239.4,1588.4,140.2,2357.0,5,5,5,5
9,9,7,pair 9/9,1190.0,1540.2,298.0,1943.8,5,5,5,5
9,9,8,pair 9/9,964.0,2438.0,484.8,2122.8,5,5,5,5
9,9,9,pair 9/9,1156.4,1537.8,534.4,2715.6,5,5,5,5
9,9,A,pair 9/9,1321.6,1463.6,1566.6,2375.0,5,5,5,5
A,A,10,pair A/A,1119.0,1497.8,443.4,1397.6,5,5,5,5
A,A,2,pair A/A,889.8,1339.8,296.4,2070.4,5,5,5,5
A,A,3,pair A/A,957.2,950.2,199.2,1960.4,5,5,5,5
A,A,4,pair A/A,1042.6,1324.2,267.4,1746.0,5,5,5,5
A,A,5,pair A/A,1034.8,1475.0,584.8,1492.2,5,5,5,5
A,A,6,pair A/A,888.0,1213.6,301.4,2083.0,5,5,5,5
A,A,7,pair A/A,894.6,1440.8,335.8,1015.6,5,5,5,5
A,A,8,pair A/A,1085.4,1324.6,76.6,1225.2,5,5,5,5
A,A,9,pair A/A,952.8,1598.4,278.0,1684.6,5,5,5,5
A,A,A,pair A/A,839.0,1882.0,444.5,447.0,2,2,2,2
A,2,10,soft 13,736.4,783.6,223.8,2043.6,5,5,5,5
A,2,2,soft 13,736.8,852.8,160.6,2142.4,5,5,5,5
A,2,3,soft 13,788.6,1114.6,241.6,2197.8,5,5,5,5
A,2,4,soft 13,1255.0,1166.6,1534.8,2044.6,5,5,5,5
A,2,5,soft 13,940.2,1185.6,451.2,2310.4,5,5,5,5
A,2,6,soft 13,808.2,840.2,389.8,1801.0,5,5,5,5
A,2,7,soft 13,913.4,1305.4,461.4,2108.0,5,5,5,5
A,2,8,soft 13,699.2,1215.4,260.8,1635.0,5,5,5,5
A,2,9,soft 13,756.4,1082.8,159.8,1282.8,5,5,5,5
A,2,A,soft 13,827.5,1097.0,210.0,1427.8,4,4,4,4
A,3,10,soft 14,842.2,1121.4,163.8,1625.4,5,5,5,5
A,3,2,soft 14,872.4,1150.6,337.2,2100.2,5,5,5,5
A,3,3,soft 14,1040.4,687.2,502.2,2205.6,5,5,5,5
A,3,4,soft 14,1002.2,1355.2,442.2,2585.2,5,5,5,5
A,3,5,soft 14,793.2,921.0,452.0,1493.8,5,5,5,5
A,3,6,soft 14,1056.2,1125.4,250.0,2021.8,5,5,5,5
A,3,7,soft 14,883.0,1487.6,254.6,1776.8,5,5,5,5
A,3,8,soft 14,713.0,1197.4,520.4,1810.8,5,5,5,5
A,3,9,soft 14,677.2,1199.4,251.6,1318.2,5,5,5,5
A,3,A,soft 14,887.0,1270.0,152.3,2053.0,3,3,3,3
A,4,10,soft 15,808.0,1132.8,455.6,2141.0,5,5,5,5
A,4,2,soft 15,937.4,998.8,1028.0,1938.2,5,5,5,5
A,4,3,soft 15,1262.6,1124.8,950.6,1894.8,5,5,5,5
A,4,4,soft 15,870.6,1093.2,718.8,2440.0,5,5,5,5
A,4,5,soft 15,1272.0,1088.8,264.8,2138.4,5,5,5,5
A,4,6,soft 15,949.8,1098.4,359.8,1721.6,5,5,5,5
A,4,7,soft 15,897.2,1158.0,364.0,1696.6,5,5,5,5
A,4,8,soft 15,788.0,1297.8,285.2,2141.0,5,5,5,5
A,4,9,soft 15,821.0,956.6,347.0,1749.4,5,5,5,5
A,4,A,soft 15,966.0,1505.5,1172.0,2232.5,2,2,2,2
A,5,10,soft 16,966.8,1550.8,470.2,1861.4,5,5,5,5
A,5,2,soft 16,777.6,1353.6,601.4,2094.8,5,5,5,5
A,5,3,soft 16,1170.8,1023.6,816.8,2377.6,5,5,5,5
A,5,4,soft 16,910.8,1420.2,438.0,2526.4,5,5,5,5
A,5,5,soft 16,898.6,1127.2,439.0,1736.8,5,5,5,5
A,5,6,soft 16,1108.0,1237.8,150.2,2033.0,5,5,5,5
A,5,7,soft 16,796.2,1144.6,80.2,1864.4,5,5,5,5
A,5,8,soft 16,911.8,1229.8,172.8,1978.4,5,5,5,5
A,5,9,soft 16,875.0,1185.6,317.2,1295.2,5,5,5,5
A,5,A,soft 16,784.3,1196.3,288.7,2498.7,3,3,3,3
A,6,10,soft 17,911.6,1266.0,495.4,1672.8,5,5,5,5
A,6,2,soft 17,954.6,989.0,612.2,2151.6,5,5,5,5
A,6,3,soft 17,1015.0,1212.8,289.8,2214.0,5,5,5,5
A,6,4,soft 17,846.0,1116.8,587.0,2144.0,5,5,5,5
A,6,5,soft 17,973.0,930.0,241.4,2066.6,5,5,5,5
A,6,6,soft 17,998.6,1434.0,348.4,1929.6,5,5,5,5
A,6,7,soft 17,1056.0,1126.4,256.2,1998.4,5,5,5,5
A,6,8,soft 17,1039.4,956.4,502.4,1771.4,5,5,5,5
A,6,9,soft 17,916.2,1291.4,151.2,1594.8,5,5,5,5
A,6,A,soft 17,1119.5,1327.0,808.2,2373.2,4,4,4,4
A,7,10,soft 18,1012.2,1323.0,444.6,2676.0,5,5,5,5
A,7,2,soft 18,861.8,1032.0,254.8,2103.2,5,5,5,5
A,7,3,soft 18,880.4,1155.8,510.6,1384.0,5,5,5,5
A,7,4,soft 18,1072.8,958.0,711.8,2198.2,5,5,5,5
A,7,5,soft 18,1023.8,1012.2,353.6,1498.0,5,5,5,5
A,7,6,soft 18,1220.4,1108.6,160.8,2296.8,5,5,5,5
A,7,7,soft 18,974.4,1649.2,808.4,1721.2,5,5,5,5
A,7,8,soft 18,1048.8,1367.6,1131.0,1861.8,5,5,5,5
A,7,9,soft 18,1417.8,875.8,165.8,2306.0,5,5,5,5
A,7,A,soft 18,1469.6,1322.2,528.0,2475.8,5,5,5,5
A,8,10,soft 19,1195.4,1171.2,927.8,788.4,5,5,5,5
A,8,2,soft 19,757.6,1334.8,676.8,2178.0,5,5,5,5
A,8,3,soft 19,975.6,1120.4,1481.6,2012.4,5,5,5,5
A,8,4,soft 19,1051.6,1311.8,906.4,2173.0,5,5,5,5
A,8,5,soft 19,1116.8,1029.2,1054.2,2225.0,5,5,5,5
A,8,6,soft 19,872.0,1206.8,689.8,1614.8,5,5,5,5
A,8,7,soft 19,1265.0,1318.8,846.8,1961.2,5,5,5,5
A,8,8,soft 19,1014.6,1288.2,495.8,1662.4,5,5,5,5
A,8,9,soft 19,1079.0,1360.8,1139.6,1671.2,5,5,5,5
A,8,A,soft 19,963.2,1403.8,1061.5,1678.0,4,4,4,4
A,9,10,soft 20,1039.4,1462.4,699.0,888.2,5,5,5,5
A,9,2,soft 20,822.0,1330.6,822.4,336.6,5,5,5,5
A,9,3,soft 20,979.0,1356.4,577.6,1359.0,5,5,5,5
A,9,4,soft 20,772.0,1156.6,363.8,1678.0,5,5,5,5
A,9,5,soft 20,803.4,1267.6,616.2,982.2,5,5,5,5
A,9,6,soft 20,833.8,1376.0,1222.4,1563.6,5,5,5,5
A,9,7,soft 20,1041.8,1350.2,359.0,972.4,5,5,5,5
A,9,8,soft 20,971.8,1172.4,354.6,1756.4,5,5,5,5
A,9,9,soft 20,1022.2,1030.8,609.0,1290.8,5,5,5,5
A,9,A,soft 20,915.3,940.3,0.0,1038.0,3,3,3,3
